Phrase,"Search Volume",Category,Fulfillment,"Size Tier","Variation Count",BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Reviews Rating",Sellers,"Last Year Sales","Sales Year Over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Reach Potential","Number of competing products","Sales to Reviews"
lamp￼,428,"Tools & Home Improvement",FBA,"Large Standard-Size",16,1652,37.83,9553,360675.57,4402,4.47,2,88732,116,-10,-7,"Feb, 2025",10,733,3.24
lamp,154291,"Tools & Home Improvement",FBA,"Large Standard-Size",16,1194,36.26,9443,325919.61,8050,4.53,3,77290,68,-23,-6,"Jan, 2025",10,100000,1.61
"lamp shade floor lamp",377,"Tools & Home Improvement",FBA,"Large Standard-Size",9,38731,31.29,2313,84389.97,1272,4.39,2,22298,86,0,-7,"Jan, 2025",6,10000,5.68
"3 lamp floor lamp",434,"Tools & Home Improvement",FBA,"Large Standard-Size",6,29048,62.06,1570,83807.94,1786,4.49,2,15603,9,-47,-8,"Dec, 2024",5,10000,1.63
"moon lamp galaxy lamp",178,"Tools & Home Improvement",FBA,"Large Standard-Size",4,135977,19.95,1596,45915.22,5133,4.39,2,22026,-24,0,-6,"Dec, 2024",4,997,1.16
"vintage lamp flower lamp",259,"Tools & Home Improvement",FBA,"Large Standard-Size",3,127463,43.73,366,12140.27,178,4.41,2,876,,0,-21,"Dec, 2024",3,2000,5.66
"vintage lamp flower lamp, 3 colors nightstand lamp bedside lamp, battery operated lamp cordless lamp",92,"Tools & Home Improvement",FBA,"Large Standard-Size",4,243855,26.94,554,15881.96,437,4.31,2,9,,0,-13,"Dec, 2024",0,111,3.11
"led desk lamp dimmable table lamp reading lamp",137,"Tools & Home Improvement",FBA,"Large Standard-Size",5,18822,22.89,2651,57264.11,4209,4.55,2,7210,6,0,1,"Aug, 2024",2,90000,0.77
"kiphepi mushroom lamp stained glass lamp moon lamp",78,"Tools & Home Improvement",FBA,"Large Standard-Size",5,260718,58.97,333,13413.96,57,4.00,1,169,-19,0,21,"Dec, 2024",2,120,3.79
"floor lamp dimmable standing lamp",141,"Tools & Home Improvement",FBA,"Large Standard-Size",9,7646,45.92,4056,180563.28,2875,4.48,3,24509,26,0,-12,"Dec, 2024",3,40000,2.65
